Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,1003,443,219,121,4
Anacostia,1538,1239,1034,351,12
Archives,196,975,3252,760,18
Arlington Cemetery,20,613,443,63,1
Ashburn,98,61,34,10,0
Ballston-MU,2287,1427,1975,637,20
Benning Road,854,539,319,142,5
Bethesda,1588,1353,2063,767,25
Braddock Road,1282,534,530,175,6
Branch Ave,2196,604,334,136,4
Brookland-CUA,1171,1108,1280,406,9
Capitol Heights,671,317,178,83,4
Capitol South,490,1020,2390,540,9
Cheverly,405,150,90,32,2
Clarendon,993,645,735,480,61
Cleveland Park,1064,714,550,297,11
College Park-U of Md,950,715,698,240,7
Columbia Heights,2302,2228,2483,1144,46
Congress Heights,712,468,329,140,5
Court House,1670,953,1145,377,14
Crystal City,2011,1726,2475,572,15
Deanwood,423,270,176,75,4
Downtown Largo,1609,485,331,184,8
Dulles Airport,50,82,140,84,1
Dunn Loring,1220,536,484,150,4
Dupont Circle,1907,2673,4516,2321,144
East Falls Church,1351,597,434,151,5
Eastern Market,1107,1111,1089,585,23
Eisenhower Ave,426,270,296,97,5
Farragut North,645,2187,7811,2063,58
Farragut West,757,1957,6692,1739,54
Federal Center SW,220,634,1996,233,4
Federal Triangle,94,900,3166,515,8
Foggy Bottom-GWU,1353,2775,6013,2585,59
Forest Glen,774,267,182,61,4
Fort Totten,2401,1459,1218,438,16
Franconia-Springfield,2272,1029,566,178,4
Friendship Heights,1522,1368,1611,648,19
Gallery Place,968,2783,7098,4851,198
Georgia Ave-Petworth,1539,1112,1011,425,17
Glenmont,2129,736,388,144,5
Greenbelt,1946,918,580,221,5
Greensboro,130,118,268,74,2
Grosvenor-Strathmore,1741,670,480,155,5
Herndon,64,38,25,8,0
Huntington,2628,887,501,175,5
Hyattsville Crossing,1243,818,705,343,10
Innovation Center,43,39,35,8,0
Judiciary Square,246,987,2749,417,9
King St-Old Town,1406,1189,1440,589,21
L'Enfant Plaza,1412,2106,6808,1030,28
Landover,644,221,113,59,3
Loudoun Gateway,19,11,10,3,0
McLean,275,181,381,72,2
McPherson Sq,905,1560,4574,1144,42
Medical Center,437,567,1795,335,5
Metro Center,911,2879,8404,3146,81
Minnesota Ave,562,478,401,150,6
Morgan Boulevard,677,221,194,106,9
Mt Vernon Sq,662,780,1192,559,23
Navy Yard-Ballpark,847,1072,2758,1823,45
Naylor Road,847,398,233,131,5
New Carrollton,2559,956,588,211,5
NoMa-Gallaudet U,1588,1530,2482,630,25
North Bethesda,819,509,648,194,7
Pentagon,2893,1582,3193,294,4
Pentagon City,2786,2354,2540,1202,12
Potomac Ave,1071,626,419,189,6
Potomac Yard,59,51,52,17,1
Reston Town Center,37,33,42,13,0
Rhode Island Ave,1396,1070,837,350,10
Rockville,1123,640,588,214,5
Ronald Reagan Washington National Airport,536,1600,1477,1197,16
Rosslyn,2107,2074,3353,899,22
Shady Grove,4255,1496,886,258,5
Shaw-Howard U,817,860,1062,510,32
Silver Spring,2988,1777,1790,701,26
Smithsonian,162,1554,4412,757,10
Southern Ave,1712,702,380,199,6
Spring Hill,164,139,190,68,2
Stadium-Armory,653,533,450,236,11
Suitland,1578,657,555,189,5
Takoma,1587,860,617,220,7
Tenleytown-AU,889,1036,1484,614,12
Twinbrook,1187,634,600,188,5
Tysons,225,332,750,382,5
U Street,1045,1046,1331,1123,173
Union Station,4797,3624,6504,2264,46
Van Dorn Street,982,363,240,103,4
Van Ness-UDC,1296,1042,979,390,8
Vienna,3544,1276,762,259,5
Virginia Sq-GMU,964,510,587,200,5
Waterfront,739,760,951,458,16
West Falls Church,1579,504,397,139,3
West Hyattsville,1223,613,403,144,5
Wheaton,1069,600,492,249,7
Wiehle-Reston East,1625,670,638,157,3
Woodley Park,1301,1341,1342,539,43
