Station Name,Avg Daily Tapped Entries,Avg Daily NonTapped Entries,Avg Daily Entries
Addison Road,1150.1810237203497,219.8714107365793,1370
Anacostia,2666.4519350811483,959.8951310861424,3626
Archives,3840.394506866417,225.69413233458175,4066
Arlington Cemetery,949.0661672908864,37.14856429463171,986
Ashburn,1127.3220973782772,38.93882646691635,1166
Ballston-MU,4835.489388264669,191.23845193508117,5027
Benning Road,1310.1722846441949,469.9925093632959,1780
Bethesda,4082.9937578027466,125.94132334581772,4209
Braddock Road,1850.3558052434455,104.97253433208488,1955
Branch Ave,1903.8951310861423,269.2534332084894,2173
Brookland-CUA,3281.8501872659176,423.0811485642946,3705
Capitol Heights,926.8626716604244,287.09737827715355,1214
Capitol South,3898.858926342072,102.99001248439453,4002
Cheverly,413.6729088639201,59.67790262172284,473
Clarendon,2568.821473158552,80.37827715355806,2649
Cleveland Park,2057.9775280898875,119.82022471910112,2178
College Park-U of Md,1737.0299625468165,167.25593008739077,1904
Columbia Heights,6522.227215980025,982.505617977528,7505
Congress Heights,1278.4968789013733,344.46941323345817,1623
Court House,3233.913857677903,68.75530586766541,3303
Crystal City,4318.1435705368285,150.99625468164794,4469
Deanwood,695.8739076154807,282.20474406991264,978
Downtown Largo,1620.689138576779,251.9413233458177,1873
Dulles Airport,1807.2921348314608,266.7228464419476,2074
Dunn Loring,1328.7078651685392,70.49313358302122,1399
Dupont Circle,8910.720349563046,446.9513108614232,9358
East Falls Church,2124.689138576779,64.1398252184769,2189
Eastern Market,3301.394506866417,299.97627965043694,3601
Eisenhower Ave,1039.6704119850187,52.07365792759051,1092
Farragut North,8112.369538077403,314.7590511860175,8427
Farragut West,7438.209737827716,252.3782771535581,7691
Federal Center SW,1983.3595505617975,60.97627965043695,2044
Federal Triangle,3208.3932584269664,119.37827715355806,3328
Foggy Bottom-GWU,11043.024968789014,492.3995006242197,11535
Forest Glen,856.2671660424469,67.76779026217228,924
Fort Totten,5693.282147315856,466.30461922596754,6160
Franconia-Springfield,2668.942571785268,145.34706616729088,2814
Friendship Heights,3179.002496878901,192.30586766541825,3371
Gallery Place,11060.657927590511,923.4082397003746,11984
Georgia Ave-Petworth,3356.7116104868915,682.6154806491885,4039
Glenmont,2191.6192259675404,188.0287141073658,2380
Greenbelt,2354.840199750312,304.19975031210987,2659
Greensboro,775.4007490636704,43.75780274656679,819
Grosvenor-Strathmore,2015.555555555556,62.76903870162297,2078
Herndon,750.7578027465668,23.580524344569287,774
Huntington,2738.3695380774034,156.39450686641698,2895
Hyattsville Crossing,2193.689138576779,460.08988764044943,2654
Innovation Center,699.0986267166043,27.00249687890137,726
Judiciary Square,2920.9987515605494,158.0461922596754,3079
King St-Old Town,3319.9063670411983,215.916354556804,3536
L'Enfant Plaza,8183.682896379526,460.4669163545568,8644
Landover,671.7003745318352,125.68539325842696,797
Loudoun Gateway,236.99750312109865,9.302122347066168,246
McLean,1446.2571785268417,49.95755305867665,1496
McPherson Sq,5649.931335830212,281.3383270911361,5931
Medical Center,2244.122347066167,95.00249687890135,2339
Metro Center,11239.294631710362,465.11735330836456,11704
Minnesota Ave,1076.7315855181023,488.69538077403246,1565
Morgan Boulevard,802.4756554307116,161.02621722846442,964
Mt Vernon Sq,3171.0511860174784,241.28464419475657,3412
Navy Yard-Ballpark,7124.865168539326,567.3320848938827,7692
Naylor Road,897.8377028714108,325.1947565543071,1223
New Carrollton,2481.156054931336,312.7615480649188,2794
NoMa-Gallaudet U,7861.680399500624,570.1822721598003,8432
North Bethesda,1587.123595505618,140.92009987515607,1728
Pentagon,5464.212234706617,131.22222222222223,5595
Pentagon City,6494.232209737827,277.2159800249688,6771
Potomac Ave,1894.7066167290889,303.3208489388265,2198
Potomac Yard,1021.4756554307116,57.62921348314607,1079
Reston Town Center,699.4082397003746,35.006242197253435,734
Rhode Island Ave,3398.021223470662,654.6729088639202,4053
Rockville,1867.9550561797755,174.05867665418228,2042
Ronald Reagan Washington National Airport,4781.813982521848,549.769038701623,5332
Rosslyn,6161.486891385768,242.5255930087391,6404
Shady Grove,4546.121098626717,297.9750312109863,4844
Shaw-Howard U,2674.87265917603,530.8302122347067,3206
Silver Spring,4226.38202247191,526.4868913857678,4753
Smithsonian,5028.232209737827,192.03245942571783,5220
Southern Ave,1829.7740324594256,491.8302122347066,2322
Spring Hill,557.3957553058676,40.05742821473159,597
Stadium-Armory,1452.2534332084897,325.47315855181023,1778
Suitland,1685.7915106117352,534.1897627965044,2220
Takoma,2643.1111111111118,359.521847690387,3003
Tenleytown-AU,3160.7116104868915,313.458177278402,3474
Twinbrook,1868.1498127340824,160.34332084893882,2028
Tysons,1877.239700374532,131.43570536828963,2009
U Street,4080.998751560549,514.6429463171036,4596
Union Station,11184.716604244692,688.1335830212234,11873
Van Dorn Street,1151.667915106117,88.60424469413233,1240
Van Ness-UDC,2720.616729088639,179.71785268414482,2900
Vienna,3085.147315855181,67.812734082397,3153
Virginia Sq-GMU,1826.971285892634,57.51310861423221,1884
Waterfront,2928.423220973783,410.8414481897628,3339
West Falls Church,993.465667915106,32.64169787765293,1026
West Hyattsville,1814.1548064918848,295.8189762796504,2110
Wheaton,1485.2397003745318,183.1498127340824,1668
Wiehle-Reston East,1377.660424469413,57.64169787765293,1435
Woodley Park,3428.098626716604,175.1760299625468,3603
